index,importance
symbol_id,32
time_id,341
feature_00,29
feature_01,102
feature_02,26
feature_03,9
feature_04,124
feature_05,80
feature_06,150
feature_07,184
feature_08,200
feature_09,36
feature_10,18
feature_11,19
feature_12,24
feature_13,18
feature_14,28
feature_15,63
feature_16,27
feature_17,74
feature_18,7
feature_19,22
feature_20,80
feature_21,58
feature_22,51
feature_23,88
feature_24,107
feature_25,49
feature_26,43
feature_27,37
feature_28,48
feature_29,53
feature_30,110
feature_31,77
feature_32,22
feature_33,53
feature_34,25
feature_35,12
feature_36,153
feature_37,54
feature_38,122
feature_39,23
feature_40,19
feature_41,10
feature_42,29
feature_43,23
feature_44,17
feature_45,16
feature_46,8
feature_47,35
feature_48,34
feature_49,15
feature_50,38
feature_51,31
feature_52,86
feature_53,35
feature_54,16
feature_55,24
feature_56,67
feature_57,19
feature_58,122
feature_59,98
feature_60,98
feature_61,139
feature_62,22
feature_63,1
feature_64,12
feature_65,16
feature_66,45
feature_67,25
feature_68,46
feature_69,42
feature_70,34
feature_71,7
feature_72,54
feature_73,20
feature_74,30
feature_75,46
feature_76,53
feature_77,29
feature_78,26
responder_0_lag_1,52
responder_1_lag_1,26
responder_2_lag_1,23
responder_3_lag_1,47
responder_4_lag_1,39
responder_5_lag_1,59
responder_6_lag_1,38
responder_7_lag_1,44
responder_8_lag_1,47
